group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
CD56bright,TC2N,32.417828,1.2921314,1.5394268413655868e-230,4.246694734801619e-229,0.5906051774387108,0.26811168258633356
CD56bright,FBL,32.38321,1.1833311,4.730727184739742e-230,1.296089639654724e-228,0.6331218926795817,0.26994856722997795
CD56bright,HSPD1,32.38117,1.285298,5.054265246165822e-230,1.3753102710655298e-228,0.5972912737870736,0.26678912564290963
CD56bright,TKT,32.379604,1.2226055,5.317106838688401e-230,1.4370559023482165e-228,0.6307217555288873,0.28596620132255696
CD56bright,VDAC1,32.30804,1.2068579,5.3931689618569454e-229,1.4478305937870995e-227,0.6310646322647009,0.2850110213078619
CD56bright,SFXN1,32.201374,1.4510632,1.6885160326154992e-227,4.502709420307998e-226,0.4837990742328133,0.15804555473916237
CD56bright,MCM7,32.162933,1.9034233,5.824949166455295e-227,1.543032891776237e-225,0.43236756386079206,0.13952975753122704
CD56bright,CORO1A,32.159668,0.585576,6.470525890035494e-227,1.702769971061972e-225,0.9831990399451397,0.917340191036003
CD56bright,PABPC1,32.07599,0.81112725,9.533606940503005e-226,2.492446258955034e-224,0.9607406137493572,0.7706833210874358
CD56bright,FKBP1A,32.063114,1.1484498,1.44132414347602e-225,3.743699073963689e-224,0.6780387450711469,0.31638501102130784
CD56bright,HNRNPAB,32.05979,1.3212918,1.6034827955815832e-225,4.1380201176298925e-224,0.5792902451568661,0.271565025716385
CD56bright,TMSB10,31.975351,0.4520072,2.4006928302357526e-224,6.127341226883445e-223,0.9943425338590777,0.973181484202792
CD56bright,YWHAE,31.975296,1.2532744,2.404981431551752e-224,6.127341226883445e-223,0.5736327790159438,0.22939015429831006
CD56bright,SSBP2,31.842072,3.0963702,1.6948373021067465e-222,4.2907273471056876e-221,0.3262472141265215,0.033651726671565026
CD56bright,TIAM1,31.620268,3.670804,1.9441954745011398e-219,4.891057797487144e-218,0.3103034459111949,0.02174871418074945
CD56bright,IL2RB,31.609257,0.875001,2.7547772563866512e-219,6.886943140966628e-218,0.941882393279616,0.7474650991917707
CD56bright,CHCHD2,31.602613,0.81753385,3.399215029594178e-219,8.445254731911002e-218,0.920281158923367,0.726157237325496
CD56bright,EEF2,31.567556,0.6518752,1.0297459376694717e-218,2.5425825621468435e-217,0.986284930567461,0.8872887582659809
CD56bright,ANP32B,31.466312,1.088911,2.5114498462324442e-217,6.163067107318881e-216,0.7414709411966398,0.4346069066862601
CD56bright,MRPL52,31.459038,1.1761106,3.1580756204966256e-217,7.702623464625916e-216,0.6147779873135608,0.26847905951506246
CD56bright,RAN,31.446672,1.0058038,4.661073677698359e-217,1.1299572551996022e-215,0.793588205040288,0.5193240264511388
CD56bright,ESD,31.433119,1.5887123,7.140577585125424e-217,1.7206211048494996e-215,0.42773872792731016,0.11660543717854518
